transaction_id,date,account_id,transaction_type,category_id,merchant_id,amount,payment_method,description
T0000030,2022-05-07,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000993,2022-05-07,CC2,Expense,DINE,M0009,-45.51,Card,Dining
T0000994,2022-05-08,CC2,Expense,ENT,M0021,-40.75,Card,Entertainment
T0000646,2022-05-09,CC1,Expense,GAS,M0007,-56.84,Card,Gas
T0000647,2022-05-14,CHK,Expense,GROC,M0003,-64.12,Debit,Groceries
T0000995,2022-05-15,CC2,Expense,ENT,M0021,-63.62,Card,Entertainment
T0000087,2022-05-18,CHK,Income,SIDE,M_SIDE,581.85,ACH,Side Income
T0000648,2022-05-21,CHK,Expense,GROC,M0002,-47.89,Debit,Groceries
T0000032,2022-05-21,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000031,2022-05-21,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000033,2022-05-21,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000996,2022-05-22,CC2,Expense,ENT,M0021,-30.6,Card,Entertainment
T0000649,2022-05-23,CC1,Expense,GAS,M0006,-100.61,Card,Gas
T0001195,2022-05-26,CHK,Transfer,CC_PAY,M_CC_PAY,-198.33,ACH,CC Payment CC1
T0001292,2022-05-26,CC2,Transfer,CC_PAY,M_CC_PAY,196.29,ACH,CC Payment
T0001291,2022-05-26,CHK,Transfer,CC_PAY,M_CC_PAY,-196.29,ACH,CC Payment CC2
T0001196,2022-05-26,CC1,Transfer,CC_PAY,M_CC_PAY,198.33,ACH,CC Payment
T0000997,2022-05-28,CC2,Expense,DINE,M0010,-62.08,Card,Dining
T0000650,2022-05-28,CHK,Expense,GROC,M0002,-73.26,Debit,Groceries
T0000651,2022-05-30,CC1,Expense,GAS,M0006,-65.65,Card,Gas
T0000095,2022-06-01,SAV,Income,INT,M_BANKINT,23.26,ACH,Interest
T0000526,2022-06-02,CHK,Expense,INS,M0015,-165.0,ACH,INS
T0000430,2022-06-02,CHK,Expense,UTIL,M0013,-129.94,ACH,UTIL
T0000652,2022-06-04,CHK,Expense,GROC,M0004,-92.7,Debit,Groceries
T0000478,2022-06-04,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000036,2022-06-04,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000035,2022-06-04,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000034,2022-06-04,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000998,2022-06-04,CC2,Expense,DINE,M0009,-71.59,Card,Dining
T0000999,2022-06-05,CC2,Expense,ENT,M0022,-15.3,Card,Entertainment
T0000574,2022-06-05,CC1,Expense,SUBS,M0011,-20.0,ACH,SUBS
T0000382,2022-06-05,CHK,Expense,RENT,M0014,-1200.0,ACH,RENT
T0000653,2022-06-11,CHK,Expense,GROC,M0002,-69.82,Debit,Groceries
T0001000,2022-06-12,CC2,Expense,ENT,M0021,-30.79,Card,Entertainment
T0000039,2022-06-18,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000038,2022-06-18,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000654,2022-06-18,CHK,Expense,GROC,M0002,-81.75,Debit,Groceries
T0001001,2022-06-18,CC2,Expense,DINE,M0009,-62.07,Card,Dining
T0000037,2022-06-18,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000655,2022-06-20,CC1,Expense,GAS,M0007,-86.08,Card,Gas
T0000656,2022-06-25,CHK,Expense,GROC,M0001,-58.06,Debit,Groceries
T0001002,2022-06-25,CC2,Expense,DINE,M0009,-20.96,Card,Dining
T0001198,2022-06-26,CC1,Transfer,CC_PAY,M_CC_PAY,140.56,ACH,CC Payment
T0001294,2022-06-26,CC2,Transfer,CC_PAY,M_CC_PAY,197.43,ACH,CC Payment
T0001197,2022-06-26,CHK,Transfer,CC_PAY,M_CC_PAY,-140.56,ACH,CC Payment CC1
T0001293,2022-06-26,CHK,Transfer,CC_PAY,M_CC_PAY,-197.43,ACH,CC Payment CC2
T0000657,2022-06-27,CC1,Expense,GAS,M0008,-44.6,Card,Gas
T0001003,2022-07-02,CC2,Expense,DINE,UNKNOWN,-22.25,Card,Dining
T0000527,2022-07-02,CHK,Expense,INS,M0015,-165.0,ACH,INS
T0000042,2022-07-02,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000040,2022-07-02,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000041,2022-07-02,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000658,2022-07-02,CHK,Expense,GROC,M0001,-112.26,Debit,Groceries
T0000575,2022-07-03,CC1,Expense,SUBS,M0011,-20.0,ACH,SUBS
T0000383,2022-07-03,CHK,Expense,RENT,M0014,-1200.0,ACH,RENT
T0000479,2022-07-03,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000659,2022-07-04,CC1,Expense,GAS,M0008,-56.84,Card,Gas
T0000431,2022-07-05,CHK,Expense,UTIL,M0013,-131.64,ACH,UTIL
T0000088,2022-07-09,CHK,Income,SIDE,M_SIDE,426.39,ACH,Side Income
T0000660,2022-07-09,CHK,Expense,GROC,M0001,-61.77,Debit,Groceries
T0000661,2022-07-11,CC1,Expense,GAS,M0005,-67.13,Card,Gas
T0000045,2022-07-16,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000662,2022-07-16,CHK,Expense,GROC,M0003,-109.88,Debit,Groceries
T0000043,2022-07-16,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000044,2022-07-16,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000663,2022-07-18,CC1,Expense,GAS,M0006,-70.01,Card,Gas
T0000664,2022-07-23,CHK,Expense,GROC,M0002,-67.67,Debit,Groceries
T0000665,2022-07-25,CC1,Expense,GAS,M0008,-65.79,Card,Gas
T0001295,2022-07-26,CHK,Transfer,CC_PAY,M_CC_PAY,-79.51,ACH,CC Payment CC2
T0001296,2022-07-26,CC2,Transfer,CC_PAY,M_CC_PAY,79.51,ACH,CC Payment
T0001200,2022-07-26,CC1,Transfer,CC_PAY,M_CC_PAY,259.49,ACH,CC Payment
T0001199,2022-07-26,CHK,Transfer,CC_PAY,M_CC_PAY,-259.49,ACH,CC Payment CC1
T0000047,2022-07-30,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000048,2022-07-30,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0001004,2022-07-30,CC2,Expense,DINE,M0009,-90.18,Card,Dining
T0000666,2022-07-30,CHK,Expense,GROC,M0004,-52.0,Debit,Groceries
T0000046,2022-07-30,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000432,2022-08-02,CHK,Expense,UTIL,M0013,-128.55,ACH,UTIL
T0000576,2022-08-03,CC1,Expense,SUBS,M0011,-20.0,ACH,SUBS
T0000384,2022-08-03,CHK,Expense,RENT,M0014,-1200.0,ACH,RENT
T0000480,2022-08-04,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000528,2022-08-05,CHK,Expense,INS,M0015,-165.0,ACH,INS
T0000667,2022-08-06,CHK,Expense,GROC,M0004,-65.74,Debit,Groceries
T0001005,2022-08-07,CC2,Expense,ENT,M0022,-30.66,Card,Entertainment
T0001006,2022-08-13,CC2,Expense,DINE,M0010,-82.73,Card,Dining
T0000050,2022-08-13,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000668,2022-08-13,CHK,Expense,GROC,M0004,-58.78,Debit,Groceries
T0000049,2022-08-13,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000051,2022-08-13,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000669,2022-08-20,CHK,Expense,GROC,M0004,-82.8,Debit,Groceries
T0001007,2022-08-21,CC2,Expense,ENT,M0021,-41.71,Card,Entertainment
T0000089,2022-08-24,CHK,Income,SIDE,M_SIDE,350.55,ACH,Side Income
T0001201,2022-08-26,CHK,Transfer,CC_PAY,M_CC_PAY,-50.92,ACH,CC Payment CC1
T0001297,2022-08-26,CHK,Transfer,CC_PAY,M_CC_PAY,-122.47,ACH,CC Payment CC2
T0001298,2022-08-26,CC2,Transfer,CC_PAY,M_CC_PAY,122.47,ACH,CC Payment
T0001202,2022-08-26,CC1,Transfer,CC_PAY,M_CC_PAY,50.92,ACH,CC Payment
T0000054,2022-08-27,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000053,2022-08-27,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000052,2022-08-27,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000670,2022-08-27,CHK,Expense,GROC,M0003,-70.01,Debit,Groceries
T0000671,2022-08-29,CC1,Expense,GAS,M0006,-39.88,Card,Gas
T0000096,2022-09-01,SAV,Income,INT,M_BANKINT,50.11,ACH,Interest
T0001179,2022-09-02,CC1,Expense,DINE,M0009,-143.2,Card,Dining
T0000481,2022-09-02,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000672,2022-09-03,CHK,Expense,GROC,M0001,-52.02,Debit,Groceries
T0000577,2022-09-03,CC1,Expense,SUBS,M0011,-20.0,ACH,SUBS
T0001008,2022-09-03,CC2,Expense,DINE,M0009,-53.37,Card,Dining
T0000385,2022-09-04,CHK,Expense,RENT,M0014,-1200.0,ACH,RENT
T0000433,2022-09-04,CHK,Expense,UTIL,M0013,-116.91,ACH,UTIL
T0000673,2022-09-05,CC1,Expense,GAS,M0005,-63.71,Card,Gas
T0000529,2022-09-05,CHK,Expense,INS,M0015,-165.0,ACH,INS
T0000055,2022-09-10,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000056,2022-09-10,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000057,2022-09-10,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0001009,2022-09-10,CC2,Expense,DINE,M0009,-55.56,Card,Dining
T0000674,2022-09-10,CHK,Expense,GROC,M0004,-58.87,Debit,Groceries
T0000675,2022-09-12,CC1,Expense,GAS,M0005,-53.96,Card,Gas
T0001010,2022-09-17,CC2,Expense,DINE,M0009,-32.2,Card,Dining
T0000676,2022-09-17,CHK,Expense,GROC,M0001,-25.57,Debit,Groceries
T0000090,2022-09-18,CHK,Income,SIDE,M_SIDE,366.86,ACH,Side Income
T0000677,2022-09-19,CC1,Expense,GAS,M0008,-52.77,Card,Gas
T0000058,2022-09-24,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000678,2022-09-24,CHK,Expense,GROC,M0003,-83.92,Debit,Groceries
T0000059,2022-09-24,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000060,2022-09-24,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000679,2022-09-26,CC1,Expense,GAS,M0006,-67.63,Card,Gas
T0001300,2022-09-26,CC2,Transfer,CC_PAY,M_CC_PAY,123.11,ACH,CC Payment
T0001204,2022-09-26,CC1,Transfer,CC_PAY,M_CC_PAY,1219.25,ACH,CC Payment
T0001203,2022-09-26,CHK,Transfer,CC_PAY,M_CC_PAY,-1219.25,ACH,CC Payment CC1
T0001299,2022-09-26,CHK,Transfer,CC_PAY,M_CC_PAY,-123.11,ACH,CC Payment CC2
T0000680,2022-10-01,CHK,Expense,GROC,M0004,-75.95,Debit,Groceries
T0000386,2022-10-02,CHK,Expense,RENT,M0014,-1200.0,ACH,RENT
T0001011,2022-10-02,CC2,Expense,ENT,M0021,-66.61,Card,Entertainment
T0000530,2022-10-03,CHK,Expense,INS,M0015,-165.0,ACH,INS
T0000482,2022-10-03,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000681,2022-10-03,CC1,Expense,GAS,M0005,-63.5,Card,Gas
T0000578,2022-10-05,CC1,Expense,SUBS,M0011,-20.0,ACH,SUBS
T0000434,2022-10-05,CHK,Expense,UTIL,M0013,-108.92,ACH,UTIL
T0000061,2022-10-08,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000682,2022-10-08,CHK,Expense,GROC,M0002,-84.8,Debit,Groceries
T0000063,2022-10-08,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000062,2022-10-08,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000683,2022-10-10,CC1,Expense,GAS,M0006,-25.87,Card,Gas
T0000684,2022-10-15,CHK,Expense,GROC,M0003,-70.88,Debit,Groceries
T0000685,2022-10-17,CC1,Expense,GAS,M0007,-59.15,Card,Gas
T0000091,2022-10-18,CHK,Income,SIDE,M_SIDE,488.43,ACH,Side Income
T0000686,2022-10-22,CHK,Expense,GROC,M0004,-41.03,Debit,Groceries
T0000066,2022-10-22,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000065,2022-10-22,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000064,2022-10-22,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0001012,2022-10-22,CC2,Expense,DINE,M0009,-64.58,Card,Dining
T0000687,2022-10-24,CC1,Expense,GAS,M0006,-57.09,Card,Gas
T0001301,2022-10-26,CHK,Transfer,CC_PAY,M_CC_PAY,-179.32,ACH,CC Payment CC2
T0001206,2022-10-26,CC1,Transfer,CC_PAY,M_CC_PAY,203.01,ACH,CC Payment
T0001205,2022-10-26,CHK,Transfer,CC_PAY,M_CC_PAY,-203.01,ACH,CC Payment CC1
T0001302,2022-10-26,CC2,Transfer,CC_PAY,M_CC_PAY,179.32,ACH,CC Payment
T0001013,2022-10-29,CC2,Expense,DINE,M0010,-55.66,Card,Dining
T0000688,2022-10-29,CHK,Expense,GROC,M0003,-44.72,Debit,Groceries
T0001014,2022-10-30,CC2,Expense,ENT,M0021,-10.0,Card,Entertainment
T0000689,2022-10-31,CC1,Expense,GAS,M0007,-49.37,Card,Gas
T0000579,2022-11-02,CC1,Expense,SUBS,M0011,-20.0,ACH,SUBS
T0000483,2022-11-03,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000531,2022-11-04,CHK,Expense,INS,M0015,-165.0,ACH,INS
T0000435,2022-11-04,CHK,Expense,UTIL,M0013,-98.42,ACH,UTIL
T0000387,2022-11-05,CHK,Expense,RENT,M0014,-1200.0,ACH,RENT
T0001015,2022-11-05,CC2,Expense,DINE,M0009,-57.7,Card,Dining
T0000069,2022-11-05,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000068,2022-11-05,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000067,2022-11-05,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000690,2022-11-05,CHK,Expense,GROC,M0001,-72.76,Debit,Groceries
T0000691,2022-11-07,CC1,Expense,GAS,M0007,-56.84,Card,Gas
T0000692,2022-11-12,CHK,Expense,GROC,M0002,-58.97,Debit,Groceries
T0000693,2022-11-14,CC1,Expense,GAS,M0007,-40.51,Card,Gas
T0000070,2022-11-19,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000071,2022-11-19,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000072,2022-11-19,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000694,2022-11-19,CHK,Expense,GROC,M0001,-74.04,Debit,Groceries
T0001016,2022-11-20,CC2,Expense,ENT,M0021,-34.58,Card,Entertainment
T0000695,2022-11-21,CC1,Expense,GAS,M0005,-106.43,Card,Gas
T0000092,2022-11-21,CHK,Income,SIDE,M_SIDE,569.76,ACH,Side Income
T0000696,2022-11-26,CHK,Expense,GROC,M0001,-49.81,Debit,Groceries
T0001303,2022-11-26,CHK,Transfer,CC_PAY,M_CC_PAY,-119.17,ACH,CC Payment CC2
T0001017,2022-11-26,CC2,Expense,DINE,M0009,-35.57,Card,Dining
T0001304,2022-11-26,CC2,Transfer,CC_PAY,M_CC_PAY,119.17,ACH,CC Payment
T0001207,2022-11-26,CHK,Transfer,CC_PAY,M_CC_PAY,-199.06,ACH,CC Payment CC1
T0001208,2022-11-26,CC1,Transfer,CC_PAY,M_CC_PAY,199.06,ACH,CC Payment
T0000697,2022-11-28,CC1,Expense,GAS,M0007,-38.2,Card,Gas
